partition	token	count_part	count_rest	llr	direction
1	6	39	1085	1020.492561	-
1	8	23	796	777.460998	-
1	0	8	712	774.714804	-
1	7	42	855	748.970263	-
1	9	43	772	653.587870	-
1	5	50	739	589.306129	-
1	3	70	808	588.112738	-
1	4	63	663	463.384032	-
1	2	87	715	441.573729	-
1	في	2262	1452	395.387089	+
1	ق	62	544	347.773405	-
1	ر	113	663	327.461524	-
1	1	154	764	327.394310	-
1	من	1458	859	310.293772	+
1	ش	23	360	291.850701	-
1	على	771	443	172.070001	+
1	أن	590	302	164.865454	+
1	المستشرقين	284	103	130.019483	+
1	عن	461	237	127.646409	+
1	العدد	112	10	122.470177	+
1	التي	358	163	121.188334	+
1	هذا	315	139	111.710254	+
1	إلى	588	363	111.245548	+
1	التاريخ	109	17	95.458032	+
1	هذه	232	94	92.581536	+
1	2C150	49	0	78.625256	+
1	بيروت	64	4	77.032289	+
1	الإسلام	387	237	74.483550	+
1	الإسلامي	263	134	73.860836	+
1	الشمس	3	78	71.985031	-
1	الإسلامية	278	150	70.175714	+
1	ي	121	337	66.369991	-
1	الله	158	63	64.341372	+
1	العربية	275	156	62.738123	+
1	محمد	155	63	61.553481	+
1	موقع	5	75	59.875667	-
1	ما	300	182	58.983562	+
1	تسيهر	48	3	57.768626	+
1	دار	70	13	55.740681	+
1	شر	3	63	55.381863	-
1	عليه	134	53	55.127311	+
1	ة	320	207	53.664043	+
1	وقد	188	95	53.537259	+
1	جولد	50	5	52.666207	+
1	كان	234	135	51.479484	+
1	150	51	6	50.609815	+
1	لا	246	147	50.061636	+
1	المرجع	48	5	49.845056	+
1	جامعة	81	22	49.300854	+
1	التاريخية	49	6	47.853324	+
1	الأ	3	55	46.653341	-
1	ذلك	215	126	45.695914	+
1	الش	8	71	45.529193	-
1	ت	107	273	44.802368	-
1	ط1	27	0	43.319323	+
1	إن	104	42	41.632976	+
1	النبي	42	5	41.481900	+
1	لم	116	51	41.281972	+
1	شبكة	10	72	40.917287	-
1	المستشرقون	135	66	40.678430	+
1	زيدان	25	0	40.110080	+
1	بالإنجليزية	33	2	39.993944	+
1	الاسلام	29	1	38.949384	+
1	الدعوية	24	0	38.505483	+
1	المنهج	46	8	38.020167	+
1	ـ	99	42	37.069793	+
1	فيسبوك	23	0	36.900902	+
1	تاريخ	108	49	36.669725	+
1	المسلمين	153	85	36.397777	+
1	صلى	61	17	36.310384	+
1	إلا	78	28	36.068083	+
1	الاسلامي	22	0	35.296338	+
1	الدين	84	33	34.841199	+
1	كل	128	67	34.177738	+
1	وسلم	62	19	33.837034	+
1	مع	132	71	33.474587	+
1	التراث	55	15	33.351903	+
1	السابق	53	14	33.009791	+
1	2024	25	1	32.822342	+
1	2025	98	45	32.663521	+
1	المجلة	28	2	32.607080	+
1	هي	62	20	32.165658	+
1	الذي	210	141	31.783166	+
1	ومن	123	66	31.334754	+
1	قد	108	54	31.306308	+
1	المركزية	24	1	31.297780	+
1	عدد	61	20	31.123866	+
1	السيرة	32	4	30.984461	+
1	العقيقي	32	4	30.984461	+
1	هسبريس	19	0	30.482740	+
1	ج2	19	0	30.482740	+
1	84	2	36	30.377103	-
1	العلم	57	18	30.208634	+
1	تلك	85	38	29.503604	+
1	الحضارة	53	16	29.339695	+
1	بعض	108	56	29.338410	+
1	المعارف	39	8	29.205889	+
1	القرآنية	7	51	29.197064	-
1	بين	166	106	28.741938	+
1	العربي	84	38	28.641261	+
1	2023	22	1	28.259002	+
1	الثانية	25	2	28.230262	+
1	ينظر	32	5	27.983365	+
1	والتاريخ	27	3	27.382770	+
1	الفوائد	17	0	27.273756	+
1	صيد	17	0	27.273756	+
1	الجزائر	41	10	27.197516	+
1	يق	2	33	27.144955	-
1	الطبعة	24	2	26.782655	+
1	إذ	33	6	26.596718	+
1	م	172	339	26.552801	-
1	نفسه	58	21	26.551869	+
1	الم	16	70	26.332132	-
1	أهم	40	10	26.034152	+
1	الأفكار	26	3	25.992694	+
1	غ	8	50	25.794878	-
1	أ	112	242	25.790929	-
1	دعوية	16	0	25.669289	+
1	والآثار	16	0	25.669289	+
1	دائرة	34	7	25.400362	+
1	التبشير	23	2	25.341479	+
1	اليهود	23	2	25.341479	+
1	كانت	112	64	25.118120	+
1	كما	138	87	24.675028	+
1	الصراع	25	3	24.610597	+
1	الأولى	56	21	24.596902	+
1	استشراق	7	46	24.595107	-
1	بدوي	27	4	24.235584	+
1	مقالة	5	40	24.224780	-
1	قاموس	5	40	24.224780	-
1	نجد	29	5	24.080950	+
1	واتساب	15	0	24.064837	+
1	الزهري	15	0	24.064837	+
1	جورجي	15	0	24.064837	+
1	90	2	30	23.944194	-
1	الموضوعية	22	2	23.907282	+
1	هناك	43	13	23.769235	+
1	النبوية	43	13	23.769235	+
1	الجهود	19	1	23.731700	+
1	خلال	66	29	23.497403	+
1	بها	79	39	23.401714	+
1	الرسول	34	8	23.166794	+
1	هنا	47	16	23.045554	+
1	والتي	30	6	22.829612	+
1	الاسلامية	21	2	22.480684	+
1	سالم	14	0	22.460401	+
1	للميلاد	14	0	22.460401	+
1	ب	91	200	22.415734	-
1	صدر	35	9	22.277279	+
1	السابقة	18	1	22.232525	+
1	مراد	18	1	22.232525	+
1	المؤلف	18	1	22.232525	+
1	الثقافة	49	18	22.055015	+
1	الغرب	129	83	21.893684	+
1	وش	2	28	21.830865	-
1	كتبه	29	6	21.595328	+
1	قسم	27	5	21.529225	+
1	التفسير	10	50	21.472938	-
1	وهو	84	45	21.457947	+
1	غير	74	37	21.443449	+
1	المدرسة	45	16	21.030199	+
1	ط	12	54	20.922183	-
1	أبعاد	13	0	20.855982	+
1	الإستشراقية	13	0	20.855982	+
1	دجنبر	13	0	20.855982	+
1	أو	243	193	20.837260	+
1	لدراسة	37	11	20.776083	+
1	والبحوث	17	1	20.739223	+
1	الغربيون	22	3	20.518711	+
1	التاريخي	26	5	20.270382	+
1	معرفة	47	18	20.119485	+
1	الكتب	59	27	19.760814	+
1	الباحث	31	8	19.674061	+
1	النصرانية	19	2	19.653218	+
1	تأليف	29	7	19.387459	+
1	عبد	87	50	19.269108	+
1	2018	16	1	19.252483	+
1	تويتر	16	1	19.252483	+
1	ادوارد	16	1	19.252483	+
1	التشريع	16	1	19.252483	+
1	مجلد	16	1	19.252483	+
1	فمن	12	0	19.251579	+
1	2017	12	0	19.251579	+
1	ماسنجر	12	0	19.251579	+
1	رأس	12	0	19.251579	+
1	الدعوي	12	0	19.251579	+
1	الناحية	12	0	19.251579	+
1	وكان	53	23	19.210101	+
1	هؤلاء	53	23	19.210101	+
1	نقد	27	6	19.163076	+
1	الاستشراق	531	498	19.049188	+
1	بما	32	9	18.891918	+
1	ضد	32	9	18.891918	+
1	البحث	84	48	18.833133	+
1	منهم	35	11	18.633534	+
1	وأ	1	21	18.456449	-
1	مجلة	65	33	18.334932	+
1	الرغم	18	2	18.254098	+
1	المستشرق	107	69	18.049344	+
1	عنها	20	3	17.844189	+
2	6	1085	39	1020.492561	+
2	8	796	23	777.460998	+
2	0	712	8	774.714804	+
2	7	855	42	748.970263	+
2	9	772	43	653.587870	+
2	5	739	50	589.306129	+
2	3	808	70	588.112738	+
2	4	663	63	463.384032	+
2	2	715	87	441.573729	+
2	65535	362	0	431.413124	+
2	في	1452	2262	395.387089	-
2	ق	544	62	347.773405	+
2	ر	663	113	327.461524	+
2	1	764	154	327.394310	+
2	من	859	1458	310.293772	-
2	ش	360	23	291.850701	+
2	على	443	771	172.070001	-
2	أن	302	590	164.865454	-
2	d8	118	0	140.472344	+
2	المستشرقين	103	284	130.019483	-
2	عن	237	461	127.646409	-
2	العدد	10	112	122.470177	-
2	46Hc	102	0	121.416530	+
2	التي	163	358	121.188334	-
2	الألوكة	100	0	119.034746	+
2	هذا	139	315	111.710254	-
2	إلى	363	588	111.245548	-
2	التاريخ	17	109	95.458032	-
2	d9	79	0	94.028590	+
2	هذه	94	232	92.581536	-
2	بيروت	4	64	77.032289	-
2	الإسلام	237	387	74.483550	-
2	الإسلامي	134	263	73.860836	-
2	الشمس	78	3	71.985031	+
2	00000	60	0	71.408033	+
2	الإسلامية	150	278	70.175714	-
2	ي	337	121	66.369991	+
2	الله	63	158	64.341372	-
2	العربية	156	275	62.738123	-
2	محمد	63	155	61.553481	-
2	D8	51	0	60.694378	+
2	موقع	75	5	59.875667	+
2	ما	182	300	58.983562	-
2	تسيهر	3	48	57.768626	-
2	6H	47	0	55.933031	+
2	دار	13	70	55.740681	-
2	شر	63	3	55.381863	+
2	عليه	53	134	55.127311	-
2	ة	207	320	53.664043	-
2	وقد	95	188	53.537259	-
2	جولد	5	50	52.666207	-
2	7q	44	0	52.362133	+
2	v4	44	0	52.362133	+
2	كان	135	234	51.479484	-
2	150	6	51	50.609815	-
2	لا	147	246	50.061636	-
2	a7	42	0	49.981588	+
2	المرجع	5	48	49.845056	-
2	جامعة	22	81	49.300854	-
2	التاريخية	6	49	47.853324	-
2	الأ	55	3	46.653341	+
2	6c	39	0	46.410850	+
2	ذلك	126	215	45.695914	-
2	الش	71	8	45.529193	+
2	2f	38	0	45.220626	+
2	6RHa	38	0	45.220626	+
2	ت	273	107	44.802368	+
2	D9	37	0	44.030412	+
2	Mд	37	0	44.030412	+
2	F6	36	0	42.840208	+
2	إن	42	104	41.632976	-
2	النبي	5	42	41.481900	-
2	لم	51	116	41.281972	-
2	شبكة	72	10	40.917287	+
2	المستشرقون	66	135	40.678430	-
2	بالإنجليزية	2	33	39.993944	-
2	الاسلام	1	29	38.949384	-
2	المنهج	8	46	38.020167	-
2	ـ	42	99	37.069793	-
2	تاريخ	49	108	36.669725	-
2	المسلمين	85	153	36.397777	-
2	صلى	17	61	36.310384	-
2	إلا	28	78	36.068083	-
2	والش	30	0	35.699213	+
2	الدين	33	84	34.841199	-
2	كل	67	128	34.177738	-
2	وسلم	19	62	33.837034	-
2	مع	71	132	33.474587	-
2	التراث	15	55	33.351903	-
2	6J	28	0	33.318967	+
2	6ra	28	0	33.318967	+
2	السابق	14	53	33.009791	-
2	2024	1	25	32.822342	-
2	2025	45	98	32.663521	-
2	المجلة	2	28	32.607080	-
2	هي	20	62	32.165658	-
2	بb	27	0	32.128860	+
2	الذي	141	210	31.783166	-
2	ومن	66	123	31.334754	-
2	قد	54	108	31.306308	-
2	المركزية	1	24	31.297780	-
2	عدد	20	61	31.123866	-
2	السيرة	4	32	30.984461	-
2	العقيقي	4	32	30.984461	-
2	84	36	2	30.377103	+
2	العلم	18	57	30.208634	-
2	쨰	25	0	29.748677	+
2	تلك	38	85	29.503604	-
2	الحضارة	16	53	29.339695	-
2	بعض	56	108	29.338410	-
2	المعارف	8	39	29.205889	-
2	القرآنية	51	7	29.197064	+
2	بين	106	166	28.741938	-
2	العربي	38	84	28.641261	-
2	ƍ4n	24	0	28.558602	+
2	J6	24	0	28.558602	+
2	QF9l	24	0	28.558602	+
2	QF5lT	24	0	28.558602	+
2	2023	1	22	28.259002	-
2	الثانية	2	25	28.230262	-
2	ينظر	5	32	27.983365	-
2	والتاريخ	3	27	27.382770	-
2	F72	23	0	27.368538	+
2	r6	23	0	27.368538	+
2	الجزائر	10	41	27.197516	-
2	يق	33	2	27.144955	+
2	الطبعة	2	24	26.782655	-
2	إذ	6	33	26.596718	-
2	م	339	172	26.552801	+
2	نفسه	21	58	26.551869	-
2	الم	70	16	26.332132	+
2	iHF7Ҹ	22	0	26.178484	+
2	أهم	10	40	26.034152	-
2	الأفكار	3	26	25.992694	-
2	غ	50	8	25.794878	+
2	أ	242	112	25.790929	+
2	دائرة	7	34	25.400362	-
2	اليهود	2	23	25.341479	-
2	التبشير	2	23	25.341479	-
2	كانت	64	112	25.118120	-
2	A7	21	0	24.988441	+
2	j6	21	0	24.988441	+
2	4K	21	0	24.988441	+
2	E6	21	0	24.988441	+
2	كما	87	138	24.675028	-
2	الصراع	3	25	24.610597	-
2	الأولى	21	56	24.596902	-
2	استشراق	46	7	24.595107	+
2	بدوي	4	27	24.235584	-
2	قاموس	40	5	24.224780	+
2	مقالة	40	5	24.224780	+
2	نجد	5	29	24.080950	-
2	90	30	2	23.944194	+
2	الموضوعية	2	22	23.907282	-
2	حلاق	20	0	23.798408	+
2	آفاق	20	0	23.798408	+
2	b1	20	0	23.798408	+
2	b3	20	0	23.798408	+
2	٨d	20	0	23.798408	+
2	٨f	20	0	23.798408	+
2	هناك	13	43	23.769235	-
2	النبوية	13	43	23.769235	-
2	الجهود	1	19	23.731700	-
2	خلال	29	66	23.497403	-
2	بها	39	79	23.401714	-
2	الرسول	8	34	23.166794	-
2	هنا	16	47	23.045554	-
2	والتي	6	30	22.829612	-
2	قا	19	0	22.608387	+
2	R6J	19	0	22.608387	+
2	ǂv	19	0	22.608387	+
2	الاسلامية	2	21	22.480684	-
2	ب	200	91	22.415734	+
2	صدر	9	35	22.277279	-
2	السابقة	1	18	22.232525	-
2	المؤلف	1	18	22.232525	-
2	مراد	1	18	22.232525	-
2	الثقافة	18	49	22.055015	-
2	الغرب	83	129	21.893684	-
2	وش	28	2	21.830865	+
2	كتبه	6	29	21.595328	-
2	قسم	5	27	21.529225	-
2	التفسير	50	10	21.472938	+
2	وهو	45	84	21.457947	-
2	غير	37	74	21.443449	-
2	خطبة	18	0	21.418375	+
2	Ǎ	18	0	21.418375	+
2	8miNpڀ	18	0	21.418375	+
2	المدرسة	16	45	21.030199	-
2	ط	54	12	20.922183	+
2	أو	193	243	20.837260	-
2	لدراسة	11	37	20.776083	-
2	والبحوث	1	17	20.739223	-
2	الغربيون	3	22	20.518711	-
2	التاريخي	5	26	20.270382	-
2	ابحث	17	0	20.228375	+
2	لأ	17	0	20.228375	+
2	معرفة	18	47	20.119485	-
2	الكتب	27	59	19.760814	-
2	الباحث	8	31	19.674061	-
